DateTime,AddedIPs,RemovedIPs
1460210165,61,61
1460217382,106,106
1460220973,76,76
1460228164,105,105
1460231764,71,71
1460238964,82,83
1460242564,62,62
1460246164,84,84
1460249764,58,59
1460256963,86,86
1460260564,51,50
1460267764,74,75
1460271363,61,63
1460278564,135,135
1460285764,78,78
1460289364,47,45
1460296564,87,86
1460300164,86,88
1460303763,80,78
1460307364,66,68
1460314564,95,97
1460318164,80,80
1460321763,64,63
1460325363,78,77
1460328963,74,72
1460332563,52,53
1460339764,91,89
1460346963,85,86
1460350564,73,73
1460357763,126,125
1460361363,74,74
1460364964,73,73
1460368564,66,67
1460375764,101,100
1460379364,75,75
1460386570,191,193
1460390164,77,76
1460397363,101,101
1460404564,93,95
1460408163,63,63
1460415364,118,118
1460418964,66,64
1460426164,90,89
1460429764,72,74
1460436964,99,99
1460440564,62,63
1460447764,94,93
1460451365,73,74
1460458564,102,103
1460462164,74,75
1460465764,60,58
1460469364,92,91
1460476563,131,130
1460480163,79,80
1460483764,81,80
1460487364,70,69
1460494564,125,126
1460498164,89,89
1460505363,118,117
1460508964,68,69
1460516164,113,114
1460519764,65,64
1460526964,107,106
1460530563,88,88
1460534164,98,99
1460537763,83,85
1460541364,77,77
1460544964,102,100
1460552164,147,147
1460555763,75,76
1460562965,111,110
1460566564,82,81
1460573763,114,115
1460577364,95,94
1460584564,100,100
1460588163,90,91
1460595363,101,102
1460598964,94,94
1460606164,111,111
1460609764,74,73
1460616964,124,124
1460620564,80,80
1460624165,78,77
1460627764,87,87
1460634963,160,160
1460638564,90,90
1460642165,74,75
1460645764,72,71
1460652963,101,103
1460656564,85,85
1460663763,129,127
1460667363,85,86
1460670963,79,79
1460674564,144,143
1460681764,122,122
1460685364,71,71
1460692564,124,124
1460696163,76,77
1460703364,103,102
1460706963,72,73
1460714163,117,117
1460717764,85,85
1460721364,80,81
1460724964,75,75
1460732163,113,111
1460735766,78,78
1460739364,79,79
1460742964,78,80
1460746564,78,77
1460750165,92,94
1460757364,111,110
1460760965,86,85
1460768163,84,85
1460771764,73,73
1460778963,115,115
1460782563,72,72
1460786163,74,75
1460789763,74,75
1460796964,119,116
1460800564,88,90
1460804164,74,71
1460811365,99,99
1460814964,103,104
1460822163,159,160
1460825764,72,72
1460832963,98,96
1460836566,69,69
1460843763,110,110
1460847364,86,86
1460854564,123,123
1460858164,76,76
1460865363,113,113
1460868964,64,64
1460872563,60,60
1460876164,53,53
1460883363,66,66
1460886963,74,75
1460894164,133,136
1460897763,73,72
1460904964,127,129
1460908564,68,65
1460912164,75,77
1460915763,102,98
1460922964,113,113
1460926563,144,144
1460930163,136,136
1460933763,91,91
1460940964,98,98
1460944564,82,82
1460951764,104,106
1460955364,84,82
1460962563,91,91
1460966164,70,71
1460973364,153,152
1460976964,153,154
1460980563,90,89
1460984165,87,87
1460987767,76,76
1460991364,78,78
1460998564,152,152
1461002164,77,77
1461009364,71,71
1461012963,42,42
1461020163,73,73
1461023763,64,64
1461027366,49,49
1461030964,55,56
1461034565,59,60
1461038163,47,47
1461041763,58,57
1461048964,63,64
1461052563,49,49
1461056163,55,53
1461059763,67,70
1461066965,94,93
1461070564,74,72
1461077764,89,89
1461081364,91,93
1461084963,65,64
1461088564,68,68
1461095764,82,81
1461102963,84,84
1461106564,94,95
1461113763,84,85
1461117364,74,73
1461124564,91,92
1461128164,68,68
1461135366,98,96
1461138963,63,64
1461160563,212,211
1461167763,113,114
1461171364,76,76
1461174963,68,67
1461182163,139,139
1461185764,60,60
1461192964,120,120
1461196563,81,81
1461203764,85,86
1461207363,78,80
1461210964,57,57
1461214564,72,71
1461221780,90,91
1461225364,79,80
1461232564,101,97
1461236164,79,79
1461243364,98,99
1461246963,78,77
1461254164,150,150
1461257763,77,77
1461261364,68,69
1461264964,70,69
1461268563,76,76
1461275764,99,99
1461279364,88,89
1461286564,103,103
1461290164,69,69
1461297364,101,101
1461300964,75,75
1461304563,68,68
1461308164,71,71
1461315364,113,112
1461318963,93,93
1461326164,97,97
1461333364,98,98
1461340564,93,94
1461344169,79,80
1461351363,98,97
1461354963,81,81
1461362164,93,94
1461365763,80,80
1461372963,111,109
1461376564,74,74
1461383763,107,107
1461387363,67,67
1461394564,98,99
1461398163,68,68
1461405364,108,108
1461408963,80,79
1461416163,115,115
1461419763,64,66
1461426964,93,93
1461430564,76,75
1461437764,104,104
1461441364,70,71
1461448563,104,103
1461452164,95,94
1461459363,105,105
1461462964,68,69
1461470164,105,105
1461473764,78,78
1461480964,96,95
1461484564,68,70
1461491764,115,115
1461495364,81,81
1461502564,107,106
1461506163,96,96
1461513364,135,134
1461516964,73,73
1461520564,73,73
1461524164,64,64
1461531364,96,97
1461534964,74,74
1461542164,147,146
1461545764,66,66
1461552963,116,117
1461556565,52,52
1461563764,114,114
1461567365,106,105
1461574564,113,113
1461578163,115,115
1461585365,121,121
1461588964,104,104
1461596163,134,136
1461599764,80,78
1461606963,109,110
1461610563,63,63
1461617764,120,119
