DateTime,AddedIPs,RemovedIPs
1459307490,26,23
1459315887,23,24
1459323089,21,24
1459330288,24,19
1459337494,21,26
1459344684,20,20
1459351277,22,18
1459358480,24,24
1459365683,22,23
1459372890,20,21
1459380084,20,22
1459387884,26,22
1459395084,20,22
1459402286,21,21
1459408876,21,20
1459415481,23,24
1459422682,20,22
1459429874,23,20
1459437680,22,24
1459444284,23,20
1459452689,22,22
1459459287,24,24
1459466483,20,22
1459473682,26,24
1459481485,21,23
1459488089,20,22
1459495878,24,21
1459502479,24,24
1459509083,19,23
1459516282,21,17
1459523484,21,20
1459531280,18,22
1459537884,24,20
1459544483,22,25
1459550482,23,21
1459557683,23,24
1459565484,20,21
1459573282,22,21
1459579878,23,23
1459587080,19,20
1459593683,22,22
1459600276,18,18
1459606281,22,20
1459613482,22,23
1459620684,24,22
1459627881,24,24
1459635079,19,22
1459642278,21,21
1459650072,20,17
1459656680,21,25
1459665081,22,19
1459671679,22,22
1459678277,21,22
1459685478,23,21
1459691479,25,26
1459698073,23,21
1459702875,15,20
1459708275,21,19
1459714882,23,21
1459721481,21,24
1459729277,21,20
1459736473,25,22
1459743678,20,24
1459751480,25,22
1459758079,24,25
1459765286,23,23
1459773079,23,23
1459779077,24,24
1459786879,20,21
1459794074,21,20
1459800672,22,23
1459807872,24,21
1459814476,22,22
1459819875,19,23
1459825281,20,21
1459831884,23,20
1459839080,21,22
1459846273,22,20
1459852878,24,26
1459860076,21,21
1459864882,24,21
1459870882,24,25
1459878682,25,25
1459885284,23,24
1459892482,25,23
1459899709,24,26
1459906277,22,23
1459912279,21,22
1459917677,17,16
1459924874,21,20
1459931472,23,24
1459936878,17,19
1459942269,23,20
1459947070,20,21
1459953074,17,20
1459958475,21,16
1459964470,21,21
1459971077,23,24
1459977080,21,21
1459984276,22,23
1459991480,25,23
1459998078,19,21
1460005881,23,23
1460014282,22,22
1460020283,19,20
1460027474,25,21
1460033478,21,25
1460041277,21,20
1460047878,19,22
1460054474,19,18
1460061676,24,21
1460066476,20,23
1460072480,22,21
1460080283,22,22
1460087481,24,22
1460094677,22,23
1460101276,23,21
1460109075,24,26
1460115674,22,23
1460121074,18,18
1460126475,21,20
1460131876,21,20
1460136679,22,23
1460142675,18,17
1460149879,23,24
1460156477,24,22
1460162482,24,24
1460169680,20,23
1460177479,22,22
1460184075,23,20
1460191279,19,20
1460197882,21,21
1460203277,15,18
1460208075,15,16
1460214078,18,15
1460219479,20,19
1460224881,18,16
1460230279,22,25
1460236282,19,20
1460243479,25,22
1460250680,22,23
1460256078,20,23
1460263274,21,21
1460268673,19,17
1460293277,25,24
1460299278,19,21
1460304076,23,19
1460308878,22,23
1460314278,22,23
1460319684,19,22
1460325691,20,18
1460331077,20,21
1460337680,19,20
1460344878,22,19
1460352083,23,24
1460358676,23,21
1460365881,23,23
1460370682,24,24
1460376076,22,24
1460382077,18,18
1460389274,20,19
1460396481,21,23
1460403678,21,18
1460408482,19,23
1460414483,24,22
1460422284,21,23
1460430079,24,19
1460436679,19,24
1460443286,19,18
1460451083,23,20
1460458277,23,24
1460464875,19,20
1460472077,17,18
1460479279,21,19
1460484679,19,22
1460489477,17,16
1460494882,18,21
1460500883,19,19
1460506881,18,15
1460513477,20,20
1460521280,23,20
1460528480,20,22
1460535676,17,18
1460542279,24,20
1460548277,20,23
1460554876,21,19
1460562681,22,25
1460569886,20,19
1460577086,19,19
1460583682,19,20
1460591488,22,19
1460598088,17,21
1460606479,21,19
1460613682,20,22
1460620281,20,18
1460628083,21,22
1460634682,19,17
1460640682,19,21
1460646686,19,18
1460653885,23,22
1460661087,20,23
1460668880,18,16
1460675481,19,19
1460682679,21,20
1460690477,21,21
1460697679,21,20
1460706077,18,23
1460712075,21,17
1460719273,22,21
1460726478,23,23
1460733078,19,19
1460739678,22,22
1460745081,19,20
1460751082,21,22
1460760087,25,23
1460766687,16,21
1460773880,22,17
1460781080,18,22
1460788280,21,18
1460796084,19,22
1460804482,22,20
1460811076,16,19
1460817672,20,16
1460824873,20,21
1460830874,21,21
1460839277,24,22
1460845277,20,23
1460852476,17,19
1460860879,23,21
1460869882,26,23
1460875879,16,20
1460883682,24,20
1460890884,23,24
1460897479,20,23
1460904677,22,18
1460911278,23,24
1460917876,19,20
1460923880,17,18
1460931080,23,21
1460937079,19,20
1460944281,22,22
1460952080,19,21
1460959877,24,20
1460966481,13,20
1460973683,21,17
1460980283,22,19
1460987480,26,25
1460994680,19,21
1461002483,25,25
1461009083,20,20
1461016881,24,23
1461022877,16,18
1461030078,25,23
1461037878,23,23
1461045077,18,22
1461052877,18,18
1461060081,18,20
1461066073,23,17
1461073279,19,21
1461080480,24,23
1461086476,25,23
1461092477,20,25
1461098472,18,16
1461105671,21,22
1461111678,18,18
1461118874,23,22
1461126680,20,20
1461133880,22,22
1461140477,25,22
1461160281,23,26
1461166879,16,18
1461174080,20,21
1461179477,22,19
1461184873,18,17
1461191477,24,24
1461197474,24,23
1461203477,23,23
1461210673,18,22
1461217874,21,19
1461225073,24,23
1461232275,20,23
1461240671,13,14
1461247876,20,17
1461255077,19,22
1461262282,24,21
1461269478,23,23
1461277279,22,20
1461283877,25,25
1461291680,24,26
1461299478,20,20
1461306678,22,20
1461313275,23,23
1461320476,18,22
1461328277,24,21
1461335471,21,22
1461342672,20,18
1461348677,19,23
1461355873,23,18
1461363082,19,21
1461369082,21,21
1461376277,24,23
1461383477,22,23
1461391274,23,23
1461398476,21,20
1461405079,21,22
1461411680,23,25
1461419480,20,18
1461426677,18,20
1461433273,23,21
1461441077,21,22
1461447676,23,22
1461455480,19,20
