DateTime,Entries,UniqueIPs
1462041001,3364,3364
1462043102,3363,3363
1462044902,3363,3363
1462047002,3361,3361
1462049102,3361,3361
1462050902,3364,3364
1462052702,3363,3363
1462054502,3362,3362
1462056602,3362,3362
1462058402,3361,3361
1462060501,3361,3361
1462060802,3558,3558
1462062302,3559,3559
1462064101,3559,3559
1462066202,3560,3560
1462068001,3558,3558
1462070101,3560,3560
1462071901,3558,3558
1462073702,3557,3557
1462075802,3561,3561
1462077602,3560,3560
1462079701,3560,3560
1462081502,3560,3560
1462083302,3570,3570
1462083902,3562,3562
1462085402,3559,3559
1462087501,3561,3561
1462089301,3560,3560
1462091102,3559,3559
1462092902,3567,3567
1462093202,3561,3561
1462095002,3558,3558
1462096802,3560,3560
1462098901,3561,3561
1462100702,3568,3568
1462101001,3559,3559
1462102802,3561,3561
1462104902,3558,3558
1462107002,3559,3559
1462109102,3561,3561
1462111502,3560,3560
1462113302,3559,3559
1462115101,3558,3558
1462117202,3562,3562
1462119302,3560,3560
1462121401,3559,3559
1462123501,3561,3561
1462125302,3559,3559
1462127402,3559,3559
1462129502,3558,3558
1462131601,3559,3559
1462133701,3561,3561
1462135501,3560,3560
1462137902,3561,3561
1462139701,3561,3561
1462141802,3561,3561
1462143901,3559,3559
1462146002,3559,3559
1462147202,3779,3779
1462148101,3779,3779
1462148702,3781,3781
1462149902,3780,3780
1462152301,3780,3780
1462153801,3781,3781
1462155902,3782,3782
1462157702,3782,3782
1462159501,3780,3780
1462161602,3781,3781
1462163402,3783,3783
1462165501,3784,3784
1462167302,3783,3783
1462169402,3783,3783
1462171502,3782,3782
1462173302,3797,3797
1462173902,3789,3789
1462175402,3789,3789
1462175702,3781,3781
1462177501,3792,3792
1462179301,3790,3790
1462179601,3783,3783
1462181102,3789,3789
1462181402,3780,3780
1462183202,3787,3787
1462183501,3781,3781
1462185302,3792,3792
1462187101,3792,3792
1462187402,3782,3782
1462189201,3788,3788
1462189502,3780,3780
1462191301,3797,3797
1462191902,3792,3792
1462193101,3793,3793
1462193402,3784,3784
1462195501,3782,3782
1462197301,3791,3791
1462199102,3791,3791
1462199401,3783,3783
1462201502,3783,3783
1462203002,3782,3782
1462204802,3783,3783
1462206601,3782,3782
1462208702,3783,3783
1462210502,3782,3782
1462212301,3781,3781
1462220701,3782,3782
1462221902,3782,3782
1462223701,3788,3788
1462224302,3780,3780
1462225801,3784,3784
1462227901,3782,3782
1462229402,3781,3781
1462231501,3783,3783
1462233301,3783,3783
1462233602,3980,3980
1462235102,3978,3978
1462236902,3979,3979
1462238702,3980,3980
1462240502,3980,3980
1462242302,3989,3989
1462242602,3980,3980
1462244102,3988,3988
1462244401,3979,3979
1462245901,3984,3984
1462246202,3977,3977
1462248002,3977,3977
1462249802,3980,3980
1462251901,3979,3979
1462253702,3978,3978
1462255502,3979,3979
1462257301,3986,3986
1462257602,3979,3979
1462259402,3980,3980
1462261502,3979,3979
1462263002,3979,3979
1462264802,3978,3978
1462266902,3980,3980
1462268702,3977,3977
1462270501,3980,3980
1462272301,3977,3977
1462274102,3980,3980
1462275602,3978,3978
1462277402,3979,3979
1462279201,3980,3980
1462280702,3978,3978
1462282501,3979,3979
1462284302,3980,3980
1462285802,3978,3978
1462287602,3979,3979
1462289102,3985,3985
1462289402,3977,3977
1462291202,3978,3978
1462292702,3980,3980
1462294502,3980,3980
1462296302,3978,3978
1462297802,3979,3979
1462299602,3978,3978
1462301402,3981,3981
1462302901,3978,3978
1462304702,3975,3975
1462306502,3977,3977
1462308302,3979,3979
1462309802,3978,3978
1462311901,3981,3981
1462313402,3979,3979
1462314902,3988,3988
1462315501,3980,3980
1462316702,3978,3978
1462318502,3979,3979
1462320002,4210,4210
1462320302,4211,4211
1462322102,4211,4211
1462323601,4210,4210
1462325402,4210,4210
1462327202,4211,4211
1462329002,4207,4207
1462330501,4211,4211
1462332601,4206,4206
1462334402,4205,4205
1462336502,4206,4206
1462338602,4210,4210
1462340702,4207,4207
1462342201,4213,4213
1462342509,4206,4206
1462344301,4207,4207
1462346102,4207,4207
1462347902,4215,4215
1462348202,4208,4208
1462350301,4208,4208
1462352102,4209,4209
1462353902,4207,4207
1462355702,4213,4213
1462356002,4206,4206
1462357802,4207,4207
1462359602,4206,4206
1462361701,4206,4206
1462363502,4209,4209
1462365302,4217,4217
1462365602,4208,4208
1462367401,4208,4208
1462369502,4207,4207
1462371302,4209,4209
1462373101,4205,4205
1462374901,4215,4215
1462375502,4210,4210
1462377002,4207,4207
1462379102,4209,4209
1462380902,4208,4208
1462382702,4209,4209
1462384502,4216,4216
1462384802,4207,4207
1462386602,4209,4209
1462388701,4209,4209
1462390501,4209,4209
1462392302,4206,4206
1462394101,4213,4213
1462394402,4207,4207
1462396202,4208,4208
1462398301,4208,4208
1462400101,4207,4207
1462401902,4205,4205
1462403702,4210,4210
1462404302,4205,4205
1462405802,4206,4206
1462406402,4437,4437
1462407901,4438,4438
1462409402,4437,4437
1462411502,4437,4437
1462413001,4444,4444
1462413302,4439,4439
1462415102,4439,4439
1462416902,4439,4439
1462418701,4438,4438
1462420502,4439,4439
1462422302,4439,4439
1462424101,4440,4440
1462425901,4438,4438
1462427702,4445,4445
1462429802,4439,4439
1462431601,4440,4440
1462433401,4440,4440
1462435502,4438,4438
1462437302,4437,4437
1462439101,4446,4446
1462439702,4440,4440
1462441202,4439,4439
1462443001,4443,4443
1462443302,4435,4435
1462445102,4437,4437
1462446902,4435,4435
1462448702,4441,4441
1462449002,4437,4437
1462451102,4438,4438
1462452602,4445,4445
1462452902,4438,4438
1462454701,4438,4438
1462456502,4440,4440
1462458302,4447,4447
1462458602,4438,4438
1462460402,4438,4438
1462462201,4441,4441
1462464301,4437,4437
1462466102,4439,4439
1462467901,4445,4445
1462468202,4437,4437
1462470302,4440,4440
1462471802,4446,4446
1462472102,4437,4437
1462473902,4438,4438
1462475702,4443,4443
1462477502,4451,4451
1462477802,4439,4439
1462479902,4437,4437
1462481402,4444,4444
1462481702,4438,4438
1462483502,4437,4437
1462485302,4437,4437
1462487102,4441,4441
1462487402,4437,4437
1462489201,4438,4438
1462491002,4446,4446
1462491302,4439,4439
1462492802,4678,4678
1462493101,4676,4676
1462494902,4683,4683
1462496702,4691,4691
1462497302,4678,4678
1462498802,4678,4678
1462500601,4675,4675
1462502702,4679,4679
1462504502,4678,4678
1462505102,4680,4680
1462506302,4681,4681
1462507802,4677,4677
1462509902,4678,4678
1462511401,4677,4677
1462513202,4679,4679
1462515002,4678,4678
1462517102,4679,4679
1462518302,4687,4687
1462518602,4680,4680
1462520102,4681,4681
1462522202,4676,4676
1462524602,4679,4679
1462526701,4680,4680
1462527902,4686,4686
1462528202,4678,4678
1462529701,4685,4685
1462530302,4679,4679
1462531502,4678,4678
1462533301,4678,4678
1462535101,4679,4679
1462536902,4678,4678
1462538702,4679,4679
1462540202,4678,4678
