DateTime,Entries,UniqueIPs
1451847890,5808,5808
1451878967,5801,5801
1451894496,5817,5817
1451920553,5822,5822
1451933683,5800,5800
1451961623,5810,5810
1451980658,5750,5750
1452007099,5765,5765
1452018833,5778,5778
1452045572,5750,5750
1452068007,5737,5737
1452102202,5792,5792
1452106815,5780,5780
1452133768,5836,5836
1452152935,5756,5756
1452178541,5798,5798
1452191976,5717,5717
1452220889,5763,5763
1452239254,5760,5760
1452278076,5778,5778
1452306442,5850,5850
1452325416,5834,5834
1452351913,5862,5862
1452365343,5811,5811
1452402367,5860,5860
1452410237,5918,5918
1452441677,5952,5952
1452450551,6009,6009
1452484902,5996,5996
1452498670,6028,6028
1452527991,6056,6056
1452537933,6032,6032
1452575182,6055,6055
1452582736,6114,6114
1452612445,6085,6085
1452623421,6069,6069
1452656636,6099,6099
1452670644,6086,6086
1452706517,6151,6151
1452710264,6173,6173
1452740939,6142,6142
1452757431,6184,6184
1452786425,6158,6158
1452796549,6203,6203
1452825128,6211,6211
1452843539,6082,6082
1452872289,6093,6093
1452882532,6135,6135
1452913038,6122,6122
1452929309,6024,6024
1452957435,6032,6032
1452969252,6059,6059
1453001626,5984,5984
1453015794,5951,5951
1453055787,5693,5872
1453088914,5707,5886
1453102091,5708,5884
1453132865,5777,5954
1453141956,5694,5866
1453171697,5734,5907
1453188217,5733,5908
1453213189,5798,5973
1453227938,5787,5961
1453254503,5842,6019
1453275462,5812,5986
1453311970,5841,6013
1453314536,5865,6038
1453343791,5900,6073
1453361858,5922,6093
1453401126,5906,6073
1453431195,5927,6094
1453447716,5970,6138
1453489563,5921,6094
1453521248,5962,6139
1453532299,6021,6198
1453563604,6027,6197
1453573701,6090,6260
1453604773,6138,6311
1453621792,6181,6357
1453659828,6159,6335
1453665860,6188,6366
1453691397,6212,6394
1453706701,6255,6437
1453739121,6273,6452
1453747118,6312,6494
1453788306,6394,6576
1453791794,6420,6604
1453824986,6436,6613
1453831155,6493,6670
1453873404,6517,6692
1453878119,6552,6727
1453907341,6562,6741
1453918769,6619,6799
1453945809,6634,6815
1453966770,6676,6858
1454002061,6698,6881
1454006051,6705,6889
1454042758,6745,6928
1454051089,6794,6978
1454080469,6828,7011
1454091936,6833,7016
1454138474,6782,6965
1454170614,6853,7036
1454177306,6902,7087
1454220639,6909,7086
1454225663,6940,7119
1454254169,6999,7181
1454265419,6963,7142
1454310954,6916,7093
1454312266,6919,7095
1454342834,6962,7141
1454351431,6962,7143
