DateTime,Entries,UniqueIPs
1462359122,14501,15019
1462360323,14504,15023
1462361522,14494,15011
1462362722,14492,15008
1462363922,14496,15012
1462365122,14477,14991
1462366322,14466,14980
1462367522,14461,14974
1462368721,14458,14972
1462369921,14460,14974
1462371122,14428,14940
1462372322,14422,14934
1462373522,14414,14926
1462374721,14392,14903
1462375922,14389,14901
1462377122,14389,14902
1462378322,14345,14857
1462379522,14339,14851
1462380722,14323,14829
1462381922,14324,14830
1462383122,14317,14823
1462384322,14267,14768
1462385522,14270,14771
1462386722,14251,14748
1462387922,14219,14714
1462389122,14204,14698
1462390322,14207,14701
1462391521,14208,14702
1462392722,14164,14657
1462393922,14165,14657
1462395122,14152,14644
1462396322,14151,14642
1462397522,14155,14647
1462398722,14155,14647
1462399922,14141,14632
1462401122,14126,14617
1462403522,14082,14573
1462404722,14077,14568
1462406523,14062,14555
1462407721,14050,14543
1462408923,14052,14545
1462410122,14038,14530
1462411322,14044,14536
1462412522,14010,14501
1462413722,14000,14491
1462414922,13970,14460
1462416122,13974,14464
1462417321,13966,14456
1462418521,13967,14457
1462419734,13925,14414
1462420947,13928,14417
1462422122,13923,14411
1462423322,13926,14414
1462424522,13918,14406
1462425721,13884,14371
1462426922,13885,14372
1462428122,13833,14318
1462429322,13834,14319
1462430521,13840,14326
1462431722,13794,14277
1462432921,13796,14279
1462434122,13769,14249
1462435322,13754,14234
1462436522,13743,14221
1462437722,13734,14212
1462438922,13736,14214
1462440122,13731,14208
1462441322,13729,14206
1462442522,13729,14207
1462443722,13733,14211
1462444922,13704,14182
1462446122,13710,14188
1462447322,13678,14155
1462448527,13685,14162
1462449722,13668,14145
1462450922,13662,14139
1462452122,13622,14099
1462453322,13626,14103
1462454522,13601,14076
1462455722,13604,14079
1462456923,13577,14047
1462458122,13579,14049
1462459322,13582,14051
1462460522,13555,14023
1462461722,13545,14012
1462462922,13507,13972
1462464122,13499,13964
1462465322,13456,13919
1462466521,13457,13920
1462467722,13440,13902
1462468922,13440,13902
