DateTime,Entries,UniqueIPs
1459011859,156080,158367
1459015460,156813,159141
1459019063,157131,159501
1459022663,157459,159862
1459026262,157873,160303
1459029861,158168,160606
1459040839,52212,53078
1459055206,51872,52727
1459058806,51715,52568
1459066008,51207,52024
1459073197,51282,52090
1459080407,50850,51648
1459084014,50439,51218
1459087591,51617,52423
1459102000,54875,55799
1459112798,56585,57555
1459116399,56930,57909
1459123588,40444,41117
1459127206,40604,41276
1459130792,40986,41662
1459138001,41300,41998
1459141596,41237,41869
1459174017,64584,65409
1459181213,88978,90002
1459184804,92333,93403
1459191995,97713,98855
1459195617,99459,100647
1459199208,100585,101797
1459202795,101504,102745
1459217207,95876,96914
1459228006,98373,99405
1459231610,98786,99812
1459235197,99051,100095
1459238800,98871,99909
1459242412,98621,99670
1459246019,102947,104058
1459260423,113465,114741
1459278435,127543,129024
1459300015,126741,128068
1459303598,135792,137249
1459307211,141167,142676
1459318004,147859,149493
1459343242,179833,181911
1459346833,187939,190184
1459350435,194854,197237
1459354028,196020,198440
1459361207,197623,200118
1459372004,199718,202287
1459375601,200247,202844
1459379228,200693,203315
1459382826,155122,156785
1459386410,155022,156686
1459390004,155027,156697
1459422426,149443,151038
1459429616,150092,151732
1459433212,151792,153478
1459444032,162835,164758
1459458423,165233,167289
1459465616,165910,167996
1459469198,141247,142877
1459472795,141138,142748
1459480003,130231,131763
1459487219,122703,124150
1459490805,120189,121598
1459498019,116234,117584
1459501602,108563,109835
1459512421,90923,91998
1459523224,114977,116305
1459526834,128688,130217
1459530416,130297,131869
1459537612,130835,132428
1459548413,131936,133570
1459559207,98958,100020
1459562807,98564,99613
1459570005,97912,98948
1459573598,97223,98246
1459580800,95138,96121
1459584411,94325,95283
1459587997,93475,94423
1459598809,92460,93464
1459602405,90969,91944
1459605999,91663,92652
1459613212,92430,93455
1459634800,94049,95144
1459642008,71572,72229
1459649203,71813,72480
1459663605,72041,72707
1459667205,71665,72313
1459678005,71292,71926
1459681610,69423,70042
1459688806,64594,65161
1459696012,65292,65873
1459703206,65931,66551
1459706804,66173,66806
1459710402,66578,67231
1459714024,66938,67599
1459728392,20105,20487
1459732008,20132,20521
1459739204,20172,20537
1459746389,20289,20652
1459750016,19840,20169
1459760809,20540,20884
1459764416,22027,22360
1459778814,32882,33282
1459782427,35473,35895
1459786003,36034,36468
1459800413,38154,38654
1459814797,34986,35413
1459822012,35056,35476
1459836389,35683,36118
1459858013,37446,37912
1459865213,43609,44144
1459868808,44596,45140
1459872408,47452,48034
1459879609,49999,50628
1459894005,52068,52755
1459904811,49044,49672
1459908398,49532,50159
1459911990,49644,50269
1459915606,49712,50334
1459919196,49692,50305
1459930015,50226,50826
1459937203,49866,50450
1459944410,48153,48702
1459948006,44497,45021
1459966008,54874,55529
1459969613,55127,55793
1459976819,56084,56774
1459984011,57161,57872
1459987610,46660,47188
1459994811,47137,47684
1459998393,47571,48129
1460002007,47760,48318
1460020002,49576,50144
1460023621,49633,50184
1460027211,49574,50121
1460034410,55690,56292
1460048823,60638,61382
1460052410,61296,62064
1460063208,62481,63290
1460066814,62843,63660
1460074005,48619,49165
1460077602,48874,49384
1460081207,48938,49433
1460084804,49143,49653
1460092019,50130,50661
1460102824,50489,51021
1460106400,50075,50616
1460110020,50962,51509
1460113622,51348,51917
1460117212,51430,52006
1460120804,50577,51161
1460124413,51429,52028
1460128013,52295,52925
1460131629,52976,53626
1460138793,54060,54753
1460146013,54655,55370
1460149601,54891,55619
1460153204,55050,55802
1460160394,42282,42789
1460174851,42392,42905
1460178415,42419,42930
1460189223,41730,42234
1460192808,41749,42250
1460196406,41484,41984
1460214408,40546,41083
1460217860,41445,41999
1460221616,42213,42785
1460232417,43774,44403
1460236018,44112,44750
1460239616,44401,45056
1460243232,44669,45334
1460254005,33691,34154
1460264824,33158,33630
1460268416,32823,33299
1460275612,32431,32902
1460290022,31606,32041
1460297221,32280,32732
1460300824,33080,33552
1460311613,34696,35233
1460318825,35474,36040
1460322409,35775,36354
1460326011,36157,36743
1460329611,36520,37131
1460333206,31175,31633
1460362012,32372,32823
1460365600,31873,32316
1460372815,30489,30910
1460376410,38161,38670
1460383629,42267,42870
1460387227,43923,44572
1460398025,49027,49776
1460408836,56154,57036
1460412417,56889,57798
1460416032,57588,58509
1460419620,51333,52076
1460426803,52262,53034
1460434012,53212,54020
1460444825,55163,56030
1460455635,58613,59514
1460462806,60108,61081
1460470016,62454,63511
1460480825,67655,68886
1460488026,69396,70692
1460495211,70791,72148
1460498819,71271,72668
1460509613,67705,68863
1460513206,67849,69015
1460516809,67559,68734
1460527614,69527,70743
1460534819,69768,71050
1460538406,69931,71236
1460545619,74865,76218
1460549221,73409,74737
1460560034,78167,79592
1460563603,81244,82729
1460567215,84580,86114
1460574437,88820,90438
1460585232,90816,92515
1460610428,78902,80162
1460614019,78910,80130
1460635625,79028,80218
1460639222,79511,80707
1460650024,85102,86425
1460657221,86961,88344
1460660810,87768,89175
1460668010,89074,90505
1460682416,78124,79251
1460686023,77815,78944
1460689619,78949,80103
1460704028,78145,79181
1460707626,79702,80749
1460711219,79963,81016
1460729230,76832,77937
1460732816,78222,79362
1460740031,82360,83599
1460743617,83545,84814
1460747210,84371,85659
1460758023,86281,87654
1460772416,65474,66448
1460779626,65981,66957
1460786831,62149,63098
1460797622,62691,63676
1460801211,63594,64605
1460804815,63437,64428
1460819228,63209,64201
1460822812,64719,65747
1460826419,65772,66823
1460830010,66608,67678
1460837220,67980,69096
1460844428,68494,69638
1460848049,68724,69874
1460855193,56471,57302
1460858811,56612,57424
1460873207,55288,56091
1460887618,52281,53064
1460891221,51711,52488
1460902022,51577,52383
1460909215,53066,53903
1460923618,55797,56696
1460927218,56167,57083
1460948824,43400,44063
1460959617,41265,41906
1460963226,43142,43806
1460966820,41957,42622
1460974029,42193,42852
1460981211,42712,43404
1460988420,44891,45639
1460999212,48339,49207
1461010038,50383,51344
1461013609,51103,52103
1461017211,51504,52525
1461028015,44693,45553
1461031621,44920,45785
1461035218,45177,46045
1461038820,45270,46141
1461046011,45853,46728
1461053208,46170,47014
1461063997,46575,47412
1461067623,48870,49717
1461089225,56149,57132
1461100068,58243,59295
1461105020,60470,61550
1461107197,61515,62604
1461110799,55770,56672
1461114387,56429,57340
1461121600,57397,58331
1461128809,57529,58474
1461132390,57584,58525
1461143208,56831,57773
1461161196,59681,60650
1461168399,63400,64458
1461186409,69432,70679
1461193622,71036,72317
1461197208,61716,62672
1461211601,62648,63637
1461222397,63256,64257
1461233212,64277,65290
1461236794,66407,67427
1461247603,66608,67631
1461269198,74852,76060
1461290803,64605,65626
1461305196,64027,64996
1461312395,64103,65062
1461319591,63628,64617
1461326799,63338,64324
1461330406,65341,66337
1461333993,67655,68715
1461341191,70925,72064
1461344799,72361,73534
1461352011,74832,76095
1461355600,75862,77159
1461359191,77228,78584
1461366421,79145,80550
1461373600,65576,66536
1461380804,67144,68104
1461398802,69051,70022
1461409596,73928,74955
1461413199,73328,74371
1461416796,73316,74371
1461423994,76131,77270
1461427596,77337,78518
1461442001,80460,81757
1461456398,70741,71811
1461467197,71555,72634
1461488801,72724,73785
1461495995,74116,75191
1461499592,74038,75116
1461503202,73937,75016
1461506797,75203,76305
1461514015,78348,79541
1461521194,81148,82427
1461524808,81987,83279
1461535594,84613,85984
1461564405,68284,69185
1461571605,67035,67923
1461586003,64257,65113
1461589604,65013,65894
1461593221,68003,68937
1461596799,69672,70633
1461604012,73392,74410
1461618430,77312,78469
1461622017,78310,79497
1461632804,70382,71304
1461636386,70751,71675
1461643614,71801,72779
1461658001,72187,73197
1461668803,74739,75773
1461672411,74486,75539
1461675986,74454,75510
1461686791,82060,83282
1461690403,84667,85946
1461694002,86048,87353
1461704798,90863,92308
1461708408,91651,93117
1461711996,92661,94156
1461719201,81783,83037
1461722808,82050,83312
1461737208,83330,84610
1461740799,83509,84796
1461751606,89814,91114
1461766054,138733,140473
1461769618,141858,143659
1461776806,153853,155842
1461791214,160558,162662
1461794803,162532,164659
1461801996,150152,151780
1461805604,151341,152961
1461809194,151568,153196
1461812796,151466,153091
1461816403,151150,152753
1461823602,150693,152290
1461830793,150414,152012
1461841607,158841,160524
1461859643,214968,217563
1461863208,218638,221328
1461870403,223320,226114
1461874013,224646,227465
1461877596,226696,229563
1461891998,208723,211082
1461895596,208288,210655
1461902795,208123,210502
1461917224,209376,211776
1461920803,209639,212044
1461924399,209346,211737
1461931624,190135,192289
1461946032,184920,187086
1461956823,193070,195435
1461964005,196466,198923
1461974810,158501,160251
1461981998,155546,157260
1462003643,154886,156516
1462010803,153661,155300
1462021606,143140,144673
1462028797,145401,146972
1462039607,148153,149775
1462053996,152265,153994
1462061212,82971,83822
1462064795,83538,84387
1462071990,84049,84893
1462079187,83170,84021
1462089993,82781,83635
1462097190,80201,81056
1462108000,71782,72581
1462118792,75468,76328
1462122403,75988,76855
1462125986,76518,77415
1462151192,54974,55613
1462169198,54587,55261
1462176403,53568,54225
1462197983,47691,48246
1462212416,70740,71690
1462223200,74730,75772
1462226794,75633,76709
1462244798,67041,67935
1462248407,67578,68485
1462251985,67897,68808
1462259185,67807,68725
1462269996,69709,70629
1462273609,71355,72291
1462284414,93381,94549
1462291620,110235,111653
1462298815,124640,126221
1462302390,127053,128667
1462306011,132187,133880
1462313216,149306,151241
1462316793,152414,154410
1462320409,146727,148509
1462323993,149542,151360
1462327603,151257,153081
1462334816,153301,155121
1462342007,154538,156363
1462349202,153940,155774
1462352798,154085,155940
1462360012,154300,156140
1462363608,155962,157821
1462374422,163675,165721
1462385221,187888,190332
1462388813,192710,195256
1462399618,200439,203170
1462414008,194849,197203
1462421209,195002,197349
1462428408,195723,198078
1462439199,196487,198874
1462442797,196190,198569
1462446412,197090,199485
1462453605,195910,198310
1462460832,224292,227270
1462464407,231769,234945
1462468007,235069,238321
1462478818,249970,253521
1462496808,184149,186302
1462500395,184945,187088
1462511203,183487,185623
1462514808,182788,184926
1462525629,183836,185992
1462529198,185191,187335
1462532803,187230,189412
1462536429,191291,193553
1462540020,193865,196168
1462558014,204583,207306
1462583217,162784,165012
1462586817,157006,159153
1462590405,152145,154233
1462594004,151378,153619
1462604800,148916,151198
1462608397,147994,150347
1462612010,146700,149025
1462619203,144486,146738
1462622805,141904,144115
1462626410,141046,143248
1462637213,143547,145828
1462640811,144103,146403
1462648004,145236,147557
1462658790,146131,148497
1462662403,146621,149003
1462666001,77039,78562
1462669596,76125,77649
1462673200,73613,75130
1462683998,66715,68158
1462687609,65900,67342
1462691193,65180,66602
1462694795,64665,66084
1462705601,58376,59718
1462712809,50085,51360
1462727208,52140,53473
1462730797,52582,53926
1462734396,53034,54394
1462741617,54221,55619
1462745206,54786,56199
1462759603,31210,31978
1462766795,30724,31342
1462770406,30686,31227
1462773994,30043,30699
1462781211,30448,31167
1462784798,29800,30514
1462788390,29537,30246
1462799207,31821,32922
1462802809,32631,33839
1462810012,34394,35720
