DateTime,Entries,UniqueIPs
1462264922,3312,3342
1462266122,3313,3343
1462267322,3310,3340
1462269722,3312,3342
1462270922,3304,3334
1462272122,3298,3328
1462274521,3297,3327
1462275722,3287,3317
1462278122,3307,3338
1462279321,3304,3335
1462280521,3283,3314
1462281721,3283,3314
1462282922,3288,3319
1462284122,3290,3321
1462285322,3277,3308
1462286522,3263,3294
1462287721,3262,3293
1462288922,3271,3302
1462290122,3267,3298
1462291322,3268,3299
1462292522,3272,3303
1462293722,3270,3301
1462294921,3279,3311
1462296121,3277,3309
1462297322,3278,3310
1462299721,3270,3302
1462300922,3270,3302
1462302122,3255,3287
1462303322,3247,3279
1462304522,3248,3280
1462305722,3245,3277
1462308122,3237,3269
1462309321,3225,3257
1462310522,3219,3251
1462311722,3223,3255
1462312922,3217,3249
1462315322,3200,3235
1462316522,3209,3244
1462317721,3226,3261
1462318922,3224,3259
1462320122,3223,3258
1462321321,3219,3254
1462322521,3215,3250
1462323722,3229,3264
1462324922,3216,3251
1462327322,3180,3218
1462329722,3155,3193
1462330922,3156,3194
1462332122,3152,3190
1462333321,3151,3189
1462334522,3165,3203
1462335722,3168,3206
1462337522,3163,3201
1462338722,3168,3206
1462339922,3169,3207
1462341122,3170,3208
1462342322,3176,3214
1462343522,3187,3225
1462344732,3183,3220
1462345922,3178,3215
1462347121,3188,3225
1462348322,3170,3207
1462349521,3148,3185
1462350722,3145,3182
1462351922,3152,3189
1462353122,3148,3185
1462354322,3132,3169
1462356722,3142,3179
1462357922,3134,3171
1462359122,3116,3153
1462360322,3108,3145
1462361522,3126,3163
1462362722,3200,3237
1462363922,3198,3235
1462365122,3213,3249
1462366322,3227,3263
1462367522,3224,3260
1462368721,3207,3243
1462369921,3205,3241
1462371122,3213,3249
1462372322,3216,3252
1462373522,3208,3244
1462374721,3207,3243
1462375922,3210,3246
1462377122,3221,3257
1462378322,3221,3257
1462379522,3218,3254
1462380721,3215,3251
1462381921,3219,3255
1462383122,3203,3239
1462384322,3192,3228
1462385522,3187,3223
1462386722,3178,3214
1462387921,3196,3232
1462389121,3197,3233
1462390322,3188,3224
1462391521,3183,3219
1462393922,3182,3218
1462395121,3196,3232
1462396322,3196,3232
1462397522,3193,3229
1462398721,3202,3238
1462399922,3198,3234
1462401122,3195,3232
1462402322,3184,3221
1462403522,3191,3228
1462404722,3194,3231
1462406522,3194,3231
1462407721,3190,3227
1462408923,3181,3218
1462410122,3197,3234
1462411322,3192,3229
1462412522,3193,3230
1462413722,3198,3235
1462414922,3185,3222
1462416122,3165,3202
1462417321,3213,3251
1462418521,3208,3246
1462420947,3268,3307
1462422122,3268,3307
1462423322,3260,3299
1462424522,3261,3300
1462425721,3262,3301
1462426922,3256,3295
1462428121,3258,3297
1462429321,3273,3312
1462430521,3264,3303
1462431722,3265,3304
1462432921,3270,3309
1462434122,3272,3311
1462435322,3272,3311
1462436522,3257,3296
1462437722,3288,3327
1462438922,3292,3331
1462441322,3293,3332
1462442522,3298,3337
1462443722,3299,3338
1462444922,3271,3310
1462446122,3262,3301
1462447322,3265,3304
1462448527,3309,3348
1462449722,3308,3347
1462450922,3345,3386
1462452122,3351,3391
1462453322,3351,3391
1462454522,3349,3389
1462455722,3331,3371
1462456923,3345,3385
1462458122,3350,3390
1462459322,3348,3388
1462460522,3349,3389
1462461722,3324,3364
1462462922,3339,3379
1462464122,3340,3380
1462465322,3337,3377
1462466521,3338,3378
1462467721,3351,3391
1462468922,3386,3427
1462470122,3402,3445
1462471321,3402,3445
1462471922,3380,3423
1462473722,3381,3424
1462474921,3392,3436
1462477322,3389,3435
1462478521,3382,3428
1462480922,3392,3439
1462482122,3396,3443
1462483321,3393,3440
1462484522,3388,3435
1462485721,3386,3436
1462486922,3386,3436
1462488122,3378,3428
1462490522,3371,3421
1462491722,3369,3419
1462494121,3379,3429
1462495322,3381,3431
1462496522,3382,3432
1462497721,3389,3441
1462498921,3371,3423
1462501321,3415,3467
1462502521,3418,3471
1462504922,3406,3457
1462506122,3393,3444
1462507322,3397,3448
1462508521,3414,3465
1462509722,3405,3456
1462510922,3406,3457
1462512121,3407,3458
1462514521,3403,3454
1462515722,3408,3459
1462516922,3410,3461
1462519322,3413,3464
1462520522,3425,3476
1462521722,3423,3474
1462524122,3424,3475
1462525321,3410,3461
1462526522,3405,3456
1462527722,3404,3455
1462528922,3407,3458
1462530122,3409,3460
1462531322,3408,3459
1462532522,3406,3457
1462533722,3414,3465
1462534922,3412,3463
1462536122,3406,3457
1462537322,3407,3459
1462538522,3403,3455
1462540922,3400,3452
1462542121,3401,3453
1462543322,3414,3466
1462544522,3414,3466
1462545722,3404,3456
1462546922,3401,3453
1462548122,3412,3464
1462549322,3411,3463
1462550522,3406,3458
1462552921,3404,3456
1462554121,3409,3461
1462555322,3396,3448
1462556522,3387,3439
1462557722,3388,3440
1462558922,3390,3442
1462560121,3398,3450
1462561322,3399,3451
1462562522,3393,3445
1462563722,3386,3438
1462564922,3385,3437
1462566122,3398,3450
1462567322,3377,3429
1462568521,3370,3422
1462569722,3371,3423
1462570922,3367,3419
1462572722,3378,3430
1462573922,3371,3423
1462575122,3365,3417
1462577521,3371,3423
1462578721,3347,3399
1462579922,3350,3402
1462581122,3338,3390
1462582322,3339,3392
1462583522,3338,3391
1462584722,3331,3384
1462585922,3328,3381
1462587122,3329,3382
1462588322,3306,3359
1462589521,3275,3328
1462590722,3271,3324
1462591922,3321,3371
1462593121,3324,3373
1462594321,3342,3391
1462595521,3336,3384
1462596722,3331,3379
1462597922,3331,3379
1462599122,3330,3378
1462600322,3342,3390
1462601522,3347,3395
1462602722,3347,3395
1462603921,3346,3394
1462605122,3356,3404
1462605722,3358,3406
1462606323,3355,3403
1462607521,3347,3395
1462608122,3350,3398
1462608722,3355,3403
1462611722,3354,3402
1462612322,3344,3392
1462614122,3342,3390
1462615321,3338,3386
1462616522,3333,3381
1462617723,3334,3382
1462618922,3354,3403
1462619522,3356,3405
1462620121,3355,3404
1462622521,3340,3389
1462623721,3345,3394
1462625521,3336,3385
1462627322,3334,3383
1462628521,3335,3384
1462629121,3357,3406
1462629721,3355,3404
1462630322,3353,3402
1462632121,3353,3401
1462633322,3349,3397
1462634522,3366,3414
1462636922,3342,3389
1462637521,3340,3387
1462638721,3340,3387
1462639323,3341,3388
1462640522,3345,3393
1462641122,3351,3399
1462641722,3340,3388
1462642322,3344,3392
1462642921,3326,3374
1462643522,3325,3373
1462644722,3321,3369
1462645322,3326,3374
1462645922,3328,3376
1462646522,3321,3369
1462647121,3325,3373
1462647722,3320,3367
1462648922,3310,3357
1462650122,3309,3356
1462651922,3302,3349
1462652522,3308,3355
1462653721,3301,3348
1462654321,3300,3347
1462655522,3299,3346
1462656121,3300,3347
1462656722,3297,3344
1462657322,3300,3347
1462657922,3304,3352
1462658522,3296,3344
1462659122,3303,3353
1462659721,3297,3347
1462660322,3290,3340
1462663921,3279,3328
1462664522,3284,3333
1462665122,3277,3326
1462665722,3279,3328
1462666922,3277,3326
1462668121,3278,3327
1462669322,3271,3320
1462670522,3267,3316
1462671122,3265,3314
1462671722,3273,3322
1462672322,3263,3311
1462672923,3269,3318
1462673523,3271,3320
1462674122,3274,3323
1462674722,3271,3320
1462675922,3270,3319
1462677123,3291,3341
1462677722,3293,3343
1462678321,3310,3360
1462679521,3304,3354
1462681321,3310,3360
1462682521,3312,3362
1462683721,3309,3359
1462684923,3298,3348
1462685521,3300,3350
1462686121,3298,3348
1462686722,3294,3344
1462687322,3298,3348
1462687921,3289,3338
1462688521,3290,3339
1462689122,3295,3345
1462689722,3311,3361
1462690921,3311,3361
1462691522,3308,3358
1462693921,3315,3366
1462694521,3322,3373
1462695122,3326,3377
1462695722,3323,3374
1462696322,3296,3344
1462697522,3294,3341
1462698721,3337,3383
1462700521,3336,3382
1462701121,3322,3368
1462702921,3332,3378
1462704122,3331,3371
1462705321,3325,3363
1462707122,3294,3332
1462707721,3307,3346
1462708322,3296,3335
1462708921,3298,3337
1462709521,3285,3323
1462710122,3274,3312
1462711321,3270,3308
1462712522,3288,3326
1462713722,3290,3328
1462714922,3251,3288
1462716121,3252,3289
1462716721,3249,3286
1462717922,3249,3286
1462718522,3253,3290
1462719121,3255,3292
1462719722,3251,3288
1462720921,3250,3287
1462721522,3249,3286
1462722122,3251,3288
1462723321,3248,3285
1462724521,3238,3275
1462726322,3240,3277
1462726923,3235,3272
