DateTime,Entries,UniqueIPs
1461027601,5128,5128
1461031201,5110,5110
1461034801,5091,5091
1461038401,5077,5077
1461042001,5092,5092
1461045601,5065,5065
1461049201,5119,5119
1461052802,5097,5097
1461056401,5092,5092
1461060002,5082,5082
1461063601,5095,5095
1461067201,5107,5107
1461070801,5061,5061
1461074402,4987,4987
1461078001,4905,4905
1461081601,4918,4918
1461085202,4934,4934
1461088802,4952,4952
1461092401,4960,4960
1461096002,4965,4965
1461099601,4915,4915
1461103201,4952,4952
1461106801,4914,4914
1461110401,4971,4971
1461114001,4992,4992
1461117602,5056,5056
1461121202,5074,5074
1461124801,5089,5089
1461128402,5096,5096
1461132002,5120,5120
1461135601,5111,5111
1461139202,5090,5090
1461142802,5111,5111
1461160801,5109,5109
1461168001,5200,5200
1461171602,5203,5203
1461175202,5131,5131
1461178801,5074,5074
1461182401,5150,5150
1461186001,5173,5173
1461189602,5190,5190
1461193202,5222,5222
1461196802,5120,5120
1461200402,5124,5124
1461204001,5061,5061
1461207602,5016,5016
1461211202,4949,4949
1461214801,4996,4996
1461218401,4998,4998
1461222002,5016,5016
1461225602,5058,5058
1461229202,5057,5057
1461232802,5052,5052
1461236402,5044,5044
1461240001,5092,5092
1461243601,5092,5092
1461247202,5110,5110
1461250802,5089,5089
1461254401,5051,5051
1461258002,4998,4998
1461261602,4956,4956
1461265201,4929,4929
1461268802,4825,4825
1461272402,4817,4817
1461276001,4808,4808
1461279601,4866,4866
1461283202,4814,4814
1461286801,4926,4926
1461290402,4941,4941
1461294002,4941,4941
1461297601,4991,4991
1461301201,4962,4962
1461304802,4976,4976
1461308401,4944,4944
1461312001,4925,4925
1461315601,4937,4937
1461319202,4909,4909
1461322802,4912,4912
1461326401,4905,4905
1461330001,4856,4856
1461333601,4836,4836
1461337201,4825,4825
1461340801,4822,4822
1461344401,4836,4836
1461348001,4833,4833
1461351602,4838,4838
1461355201,4840,4840
1461358802,4802,4802
1461362401,4747,4747
1461366001,4667,4667
1461369601,4676,4676
1461373201,4604,4604
1461376801,4598,4598
1461380402,4652,4652
1461384002,4626,4626
1461387601,4617,4617
1461391201,4600,4600
1461394802,4611,4611
1461398401,4605,4605
1461402001,4606,4606
1461405601,4622,4622
1461409202,4588,4588
1461412802,4545,4545
1461416402,4574,4574
1461420001,4597,4597
