DateTime,Entries,UniqueIPs
1461121397,1024,1061
1461124993,1024,1061
1461128590,1027,1064
1461132190,1023,1060
1461133966,1026,1063
1461139387,1027,1064
1461142993,1026,1063
1461160983,1027,1064
1461168180,1029,1066
1461171780,1027,1064
1461175386,1031,1068
1461178991,1026,1063
1461182902,1029,1066
1461184352,1033,1070
1461189776,1033,1070
1461193374,1032,1069
1461194903,1028,1065
1461200634,1028,1065
1461204173,1031,1068
1461205701,1030,1067
1461211377,1028,1065
1461214972,1021,1058
1461216808,1023,1060
1461220507,1024,1061
1461225830,1018,1055
1461229386,1005,1042
1461232966,1007,1044
1461236565,1010,1047
1461240169,1012,1049
1461243768,1013,1050
1461247392,1019,1056
1461250298,1014,1051
1461254561,1016,1053
1461258178,1017,1054
1461261768,1017,1054
1461265359,1020,1057
1461269020,1019,1056
1461272564,1021,1058
1461276216,1019,1056
1461279756,1022,1059
1461282869,1025,1062
1461287014,1022,1059
1461290552,1020,1057
1461294156,1018,1055
1461297751,1021,1058
1461301351,1030,1067
1461305018,1018,1055
1461306925,1020,1057
1461308608,1018,1055
1461312210,1015,1052
1461315815,1017,1054
1461319407,1018,1055
1461323013,1024,1061
1461326551,1023,1060
1461330204,1020,1057
1461333744,1021,1058
1461336009,1023,1060
1461341036,1025,1062
1461344601,1026,1063
1461347718,1025,1062
1461351738,1017,1054
1461355414,1021,1058
1461359003,1015,1052
1461362598,1014,1051
1461366136,1017,1054
1461369802,1015,1052
1461373394,1015,1052
1461376934,1012,1049
1461380538,1010,1047
1461384194,1016,1053
1461387794,1013,1050
1461391397,1010,1047
1461393257,1010,1047
1461398591,1013,1050
1461402194,1010,1047
1461405789,1010,1047
1461409389,1012,1049
1461412564,1014,1051
1461416586,1013,1050
1461420186,1017,1054
1461423791,1014,1051
1461427383,1015,1052
1461430981,1019,1056
1461434588,1015,1052
1461438180,1018,1055
1461441779,1015,1052
1461445385,1020,1057
1461448978,1013,1050
1461452638,1019,1056
1461456182,1019,1056
1461459775,1019,1056
1461463376,1017,1054
1461466981,1021,1058
1461470636,1014,1051
1461474173,1019,1056
1461477413,1021,1058
1461479639,1020,1057
1461481372,1017,1054
1461484978,1019,1056
1461488575,1020,1057
1461492167,1013,1050
1461495774,1018,1055
1461498274,1015,1052
1461499365,1012,1049
1461503025,1016,1053
1461506566,1008,1045
1461510232,1012,1049
1461513763,1013,1050
1461517362,1011,1048
1461520233,1012,1049
1461520960,1010,1047
1461524559,1012,1049
1461528160,1014,1051
