DateTime,Entries,UniqueIPs
1461106994,973,973
1461110600,975,975
1461114194,977,977
1461117793,978,978
1461121397,979,979
1461124993,977,977
1461128590,971,971
1461132190,972,972
1461133966,973,973
1461139387,969,969
1461142993,969,969
1461160983,978,978
1461168180,979,979
1461171780,976,976
1461175386,976,976
1461178991,972,972
1461182902,974,974
1461184352,976,976
1461189776,973,973
1461193374,975,975
1461194903,973,973
1461200634,971,971
1461204173,972,972
1461205701,971,971
1461211377,971,971
1461214972,973,973
1461216808,967,967
1461220507,964,964
1461222231,962,962
1461225830,965,965
1461229386,965,965
1461232966,965,965
1461236565,964,964
1461240169,965,965
1461243768,964,964
1461247392,962,962
1461250298,963,963
1461254561,965,965
1461258178,966,966
1461261768,966,966
1461265359,968,968
1461269020,967,967
1461272564,966,966
1461276216,970,970
1461279756,970,970
1461282869,972,972
1461283415,970,970
1461287014,970,970
1461290552,969,969
1461294156,970,970
1461297751,969,969
1461301351,968,968
1461305018,966,966
1461306925,967,967
1461308608,968,968
1461312210,967,967
1461315815,969,969
1461319407,972,972
1461323013,976,976
1461326551,977,977
1461330204,979,979
1461333744,979,979
1461336009,978,978
1461341036,978,978
1461344601,977,977
1461347718,978,978
1461348199,976,976
1461351738,976,976
1461355414,978,978
1461359003,977,977
1461362598,976,976
1461366136,974,974
1461369802,971,971
1461373394,969,969
1461376934,969,969
1461380538,970,970
1461384194,969,969
1461387794,969,969
1461391397,969,969
1461393257,967,967
1461398591,967,967
1461402194,965,965
1461405789,964,964
1461409389,963,963
1461412564,961,961
1461412986,960,960
1461416586,961,961
1461420186,958,958
1461423791,959,959
1461427383,960,960
1461430981,964,964
1461434588,961,961
1461438180,962,962
1461441779,963,963
1461445385,964,964
1461448978,963,963
1461452638,965,965
1461456182,967,967
1461459775,967,967
1461463376,967,967
1461466981,968,968
1461470636,970,970
1461474173,970,970
1461477413,971,971
1461479639,970,970
1461484978,968,968
1461488575,969,969
1461492167,969,969
1461495774,971,971
1461498274,970,970
1461503025,969,969
1461506566,969,969
1461510232,971,971
1461513763,974,974
1461517362,974,974
1461520233,975,975
1461524559,974,974
1461528160,976,976
1461529690,975,975
1461535358,975,975
1461538956,977,977
1461540613,975,975
1461546156,973,973
1461549754,970,970
1461551165,971,971
1461556954,967,967
1461560554,968,968
1461562450,967,967
1461566051,968,968
1461571350,969,969
1461574957,970,970
1461578610,966,966
1461582219,964,964
1461584227,964,964
1461589434,961,961
1461592947,965,965
1461595881,964,964
1461600145,967,967
1461603744,969,969
1461607104,970,970
1461607401,968,968
1461611002,966,966
1461614603,967,967
1461618209,968,968
1461621738,973,973
1461625397,971,971
1461632597,970,970
1461636195,971,971
1461639801,969,969
1461643394,970,970
1461646993,971,971
1461650599,971,971
1461652426,971,971
1461657790,968,968
1461661450,966,966
1461664987,966,966
1461668587,968,968
1461670302,969,969
1461672185,968,968
1461675786,969,969
1461679389,965,965
1461681095,964,964
1461686582,959,959
1461690183,956,956
1461691471,954,954
1461697381,957,957
1461700979,959,959
1461702327,960,960
1461708178,960,960
1461711776,960,960
1461713122,960,960
1461718973,960,960
1461722634,959,959
1461723859,960,960
1461729832,960,960
1461733433,958,958
1461734654,958,958
1461738802,956,956
1461744173,956,956
1461747100,953,953
1461751366,953,953
1461754964,954,954
1461758571,951,951
1461762162,949,949
1461765765,950,950
1461769368,951,951
1461773022,948,948
1461776560,949,949
1461780168,950,950
1461783758,952,952
1461787358,956,956
1461791023,956,956
1461794616,958,958
1461798154,964,964
1461800599,966,966
1461805353,969,969
1461809020,969,969
1461812558,970,970
1461816152,970,970
1461819751,966,966
1461822870,968,968
1461823411,967,967
1461825233,968,968
1461827010,967,967
1461830550,968,968
1461834218,963,963
1461837747,964,964
1461841409,962,962
1461843549,965,965
1461848546,965,965
1461850992,966,966
1461855804,965,965
1461859403,967,967
1461861362,967,967
1461866544,966,966
1461870201,965,965
1461872219,963,963
1461873798,962,962
1461877339,969,969
1461880999,971,971
1461882530,969,969
1461888137,969,969
1461891799,968,968
1461893329,971,971
1461898995,969,969
1461902594,967,967
1461904066,966,966
1461906195,964,964
1461909733,963,963
1461911600,959,959
1461916992,959,959
1461920170,962,962
1461924190,966,966
1461927791,966,966
1461931395,965,965
1461934988,966,966
1461938588,966,966
1461940727,966,966
1461945786,965,965
1461949384,963,963
1461952563,965,965
1461952983,961,961
1461956588,961,961
1461960182,965,965
1461963785,966,966
1461967378,964,964
1461970978,964,964
1461974583,964,964
1461978238,963,963
1461981777,962,962
1461985380,963,963
1461988974,961,961
1461992576,957,957
1461996180,955,955
1461998015,956,956
1462003371,955,955
1462006979,950,950
1462010630,942,942
1462014169,941,941
