DateTime,AddedIPs,RemovedIPs
1459535581,0,1
1459539181,1,0
1459542781,0,8
1459546381,2,0
1459553581,1,0
1459560781,5,1
1459567981,1,0
1459575181,3,0
1459578781,0,3
1459582382,2,0
1459593181,0,1
1459600381,1,1
1459607581,2,1
1459614781,4,0
1459618381,0,1
1459621982,6,0
1459625581,0,1
1459643581,4,1
1459650781,1,0
1459657981,1,0
1459665181,2,0
1459668783,0,3
1459679581,4,0
1459686781,2,0
1459693981,1,3
1459701181,0,1
1459704781,3,0
1459708382,1,3
1459722781,1,6
1459729982,0,2
1459737181,2,1
1459744381,1,0
1459747981,0,1
1459751581,1,0
1459755181,0,1
1459758781,1,0
1459762381,0,2
1459765981,0,1
1459780381,2,4
1459787581,1,2
1459791181,0,2
1459794781,3,0
1459798381,0,1
1459801982,1,0
1459809181,1,1
1459816381,3,0
1459819981,1,0
1459823581,0,2
1459827181,2,0
1459830781,0,1
1459834381,3,0
1459837982,0,1
1459845182,0,3
1459855982,0,2
1459863181,1,3
1459866782,1,0
1459873981,0,4
1459881181,1,0
1459884781,0,2
1459891981,0,1
1459895581,1,2
1459913581,0,4
1459920781,0,1
1459924381,0,4
1459927981,1,0
1459931581,1,0
1459938781,3,1
1459942381,1,0
1459949581,0,1
1459953181,0,2
1459960381,2,2
1459967581,2,1
1459971182,1,0
1459974781,0,2
1459978381,2,0
1459985581,1,0
1459999981,0,3
1460007182,1,3
1460010782,0,2
1460021582,1,1
1460025181,0,1
1460032381,0,1
1460035982,2,0
1460050381,5,1
1460053982,0,4
1460064782,0,1
1460068381,1,3
1460075581,0,3
1460097181,0,1
1460107981,0,2
1460118781,1,0
1460122381,2,0
1460125981,0,3
1460133181,4,0
1460136781,2,2
1460143981,3,1
1460151181,2,1
1460169181,0,4
1460172781,1,0
1460179981,1,0
1460187181,1,5
1460194382,1,0
1460197981,1,0
1460208781,1,0
1460212381,0,2
1460219581,2,0
1460226781,0,1
1460241181,0,2
1460244781,1,0
1460248381,0,1
1460251981,0,1
1460259181,0,1
1460269981,2,2
1460277181,1,0
1460280781,0,1
1460291581,0,1
1460295181,1,0
1460298781,0,2
1460305981,1,0
1460309581,0,1
1460313181,0,1
1460320381,3,2
1460327581,2,0
1460338381,1,1
1460352781,1,0
1460359981,2,2
1460367182,1,0
1460370781,0,1
1460377981,0,1
1460385181,1,2
1460392381,1,3
1460399581,1,2
1460406781,0,2
1460410381,0,1
1460421181,0,3
1460424781,1,0
1460431981,2,1
1460439182,0,3
1460446381,0,3
1460453581,1,0
1460460781,0,1
1460467981,0,2
1460478781,2,0
1460485981,1,1
1460496781,1,0
1460500381,0,1
1460503981,2,0
1460507581,1,1
1460514781,7,0
1460521981,1,0
1460536381,3,5
1460539982,0,1
1460550781,1,0
1460557982,1,1
1460565181,1,1
1460572381,4,1
1460597581,0,1
1460601181,2,0
1460608381,2,0
