DateTime,AddedIPs,RemovedIPs
1459344781,8,9
1459351981,13,10
1459359182,6,7
1459366381,3,3
1459373581,14,12
1459380781,6,6
1459387981,15,12
1459395181,7,9
1459402381,7,8
1459409581,11,11
1459416781,6,10
1459423981,10,10
1459431181,9,9
1459438381,6,3
1459445581,15,13
1459452781,17,15
1459459981,7,9
1459467181,7,8
1459474381,14,16
1459481582,7,5
1459488781,7,9
1459495981,7,7
1459503181,8,8
1459510381,8,8
1459517581,9,6
1459524781,8,11
1459531981,6,6
1459539181,8,9
1459546381,12,11
1459553581,7,5
1459560781,13,12
1459567981,12,13
1459575181,10,10
1459582382,14,17
1459589582,11,10
1459596781,9,8
1459600381,7,7
1459607581,5,6
1459614781,13,10
1459621982,13,15
1459629181,7,6
1459636381,1,4
1459643581,17,17
1459650781,11,10
1459657981,13,11
1459665181,15,15
1459672381,6,6
1459679581,17,17
1459686781,9,8
1459693981,12,12
1459701181,6,9
1459704781,7,9
1459708382,4,5
1459715581,11,12
1459722781,8,4
1459729982,7,9
1459737181,13,11
1459744381,5,7
1459751581,12,9
1459758781,13,13
1459765981,12,13
1459773181,8,10
1459780381,13,13
1459787581,14,14
1459794781,9,8
1459801982,7,7
1459809181,8,7
1459816381,11,11
1459819981,8,9
1459827181,10,12
1459834381,17,14
1459841582,7,10
1459848782,8,8
1459855982,10,7
1459863181,6,6
1459866782,12,12
1459870833,6,6
1459881181,10,8
1459888381,5,7
1459895581,9,10
1459902782,8,9
1459906381,6,7
1459913581,6,5
1459920781,5,7
1459927981,10,11
1459931581,12,13
1459938781,4,5
1459942381,12,9
1459949581,5,4
1459953181,7,8
1459960381,8,9
1459967581,6,5
1459971182,9,7
1459978381,8,7
1459985581,9,8
1459992781,12,9
1459999981,7,8
1460007182,11,10
1460014381,8,8
1460021582,8,6
1460028781,18,20
1460035982,7,7
1460043181,8,14
1460050381,12,14
1460057581,7,8
1460064782,12,10
1460068381,6,6
1460075581,15,15
1460082781,7,4
1460089981,6,6
1460097181,16,15
1460104381,6,5
1460111581,6,10
1460118781,10,10
1460122381,5,4
1460129581,10,7
1460133181,13,14
1460136781,5,5
1460143981,15,14
1460151181,12,14
1460158381,7,8
1460165582,14,14
1460172781,9,9
1460179981,9,7
1460187181,5,7
1460194382,11,12
1460197981,11,10
1460205181,8,7
1460208781,5,7
1460215981,5,5
1460219581,9,7
1460226781,4,5
1460230381,9,7
1460237581,7,9
1460244781,10,9
1460251981,15,12
1460259181,4,5
1460266381,7,8
1460269981,9,9
1460277181,10,12
1460284381,12,13
1460287981,11,10
1460295181,6,6
1460302381,9,10
1460305981,7,6
1460309581,5,4
1460316781,5,5
1460320381,10,8
1460327581,9,8
1460331182,4,4
1460338381,6,8
1460345582,14,14
1460352781,5,7
1460359981,10,9
1460367182,10,10
1460370781,10,12
1460377981,10,9
1460385181,7,5
1460392381,13,14
1460399581,18,16
1460406781,13,18
1460410381,10,11
1460417581,11,11
1460424781,11,8
1460431981,17,16
1460439182,10,10
1460446381,13,13
1460453581,13,12
1460460781,5,8
1460467981,11,11
1460472034,11,12
1460478781,9,13
1460485981,7,7
1460489581,4,2
1460496781,9,8
1460503981,8,5
1460507581,5,5
1460514781,16,15
1460521981,9,9
1460529181,3,3
1460536381,9,11
1460543582,6,5
1460550781,6,10
1460557982,8,7
1460565181,9,8
1460572381,10,10
1460579581,8,8
1460586781,9,8
1460593981,4,3
1460601181,5,6
1460608381,10,9
1460615581,8,10
