DateTime,AddedIPs,RemovedIPs
1461747671,1,2
1461749526,0,1
1461751445,2,0
1461753365,1,2
1461755286,1,1
1461757206,1,1
1461759127,0,1
1461761048,6,0
1461762973,0,5
1461764886,3,1
1461766806,3,3
1461768724,1,2
1461770646,1,1
1461772570,1,2
1461774490,0,1
1461776416,1,0
1461778327,4,1
1461780245,2,4
1461782165,7,1
1461784086,2,8
1461786006,0,2
1461787937,3,0
1461789848,3,3
1461791771,1,1
1461793683,4,2
1461795604,1,4
1461797524,2,2
1461799445,2,1
1461801365,5,3
1461803287,1,5
1461805215,0,1
1461809044,8,0
1461810964,1,7
1461812885,1,2
1461814806,3,1
1461816726,2,2
1461818647,1,3
1461820572,2,1
1461822485,2,2
1461824404,0,1
1461826325,6,1
1461828245,1,6
1461830164,3,1
1461832088,3,2
1461834016,0,4
1461835925,1,0
1461837843,2,1
1461839766,1,2
1461841684,5,1
1461843605,2,5
1461845527,1,2
1461847447,3,1
1461849370,0,3
1461851285,1,0
1461853204,2,1
1461855124,4,1
1461857044,3,4
1461858965,1,4
1461860884,4,1
1461862814,2,4
1461864729,3,2
1461866645,3,2
1461868565,1,4
1461870483,4,0
1461872412,4,4
1461874324,3,5
1461876248,2,3
1461878178,3,2
1461880088,5,3
1461882004,2,4
1461883928,5,2
1461885844,3,3
1461887767,4,4
1461889684,1,4
1461891616,2,2
1461893530,0,3
1461895446,3,0
1461897364,1,3
1461901205,1,1
1461903370,0,1
1461905284,2,0
1461907206,3,1
1461909124,2,3
1461911045,2,3
1461912964,1,2
1461914888,0,1
1461917766,5,0
1461919682,1,5
1461921603,0,1
1461923523,3,0
1461925442,0,3
1461929526,2,0
1461931444,1,2
1461933363,0,1
1461935286,2,0
1461937204,0,2
1461941048,1,0
1461943203,0,1
1461945123,1,0
1461947045,2,0
1461948973,2,3
1461950886,1,1
1461952813,2,2
1461954727,2,1
1461956645,0,3
1461958563,1,0
1461960485,2,1
1461962404,3,2
1461964328,5,1
1461966242,0,7
1461968163,4,0
1461970083,2,3
1461972002,2,3
1461973922,2,2
1461975846,4,2
1461977773,2,4
1461979683,1,2
1461981613,0,1
1461983523,3,0
1461985442,1,3
1461987363,3,1
1461989285,1,3
1461991203,2,1
1461993126,2,2
1461995046,1,2
1461996963,0,1
1462000803,1,0
1462002722,5,1
1462004644,0,4
1462014244,5,0
1462016162,0,5
1462018084,1,0
1462020002,8,1
1462021926,1,7
1462023846,3,2
1462025762,3,3
1462027682,4,3
1462029603,0,4
1462031522,2,0
1462033444,0,2
1462035373,1,0
1462037286,3,1
1462039212,0,3
1462043286,2,0
1462045304,0,2
1462047132,1,0
1462049046,3,1
1462050963,2,3
1462052883,1,2
1462054803,2,0
1462056724,3,2
1462058644,2,4
1462060564,1,2
1462062486,3,1
1462064408,2,3
1462066327,1,2
1462068244,3,1
1462070163,0,3
1462072083,3,0
1462074004,2,3
1462075926,1,2
1462077845,4,1
1462079768,1,2
1462081686,0,3
1462085524,1,0
1462087444,0,1
1462094163,1,0
1462096085,1,2
1462098003,0,1
1462099923,1,0
1462101846,1,1
1462103763,2,1
1462105686,1,2
1462108563,1,1
1462110482,3,1
1462112403,1,3
1462114324,0,1
1462116244,2,0
1462118164,2,2
1462120086,0,2
1462122962,6,0
1462124885,1,6
1462126803,3,1
1462128723,0,3
1462132564,1,0
1462134492,2,1
1462136408,1,2
1462138329,1,1
1462140243,0,1
1462142163,2,0
1462144086,3,2
1462146004,0,3
1462147923,4,0
1462149846,0,4
1462151766,2,0
1462153683,1,1
1462155603,2,2
1462157523,3,1
1462159443,3,4
1462161363,0,3
1462163285,4,0
1462165210,2,3
1462167124,4,3
1462169042,1,3
1462170964,0,1
1462172883,0,1
1462174804,2,0
1462176725,1,1
1462178645,0,2
1462180562,1,0
1462182485,1,1
1462184412,5,1
1462186325,1,5
1462188247,0,1
1462192093,2,0
1462194965,0,2
1462196882,1,0
1462198803,1,1
1462200722,1,1
1462202642,1,1
1462204562,1,1
1462206486,0,1
1462209367,2,0
1462211286,1,2
1462213205,1,1
1462220826,3,1
1462223763,2,2
